iter	Logloss
360	0.2589764464
361	0.2588810556
362	0.2586052186
363	0.2584920171
364	0.2584606698
365	0.2584477418
366	0.258108569
367	0.2577383663
368	0.2576642997
369	0.2574287849
370	0.2573401245
371	0.2570469885
372	0.2569128524
373	0.2566164198
374	0.25660726
375	0.256365786
376	0.2563409788
377	0.2559784121
378	0.2558369132
379	0.2557483023
380	0.2555915476
381	0.2555026889
382	0.2551085856
383	0.2549252746
384	0.2546524048
385	0.2545414859
386	0.2543394834
387	0.2543277954
388	0.254246007
389	0.2539387952
390	0.2536684626
391	0.2536584608
392	0.2535640037
393	0.2534170496
394	0.2532954179
395	0.2529739892
396	0.2527863479
397	0.2526166688
398	0.2525793809
399	0.2523273908
400	0.2523049653
401	0.2522269869
402	0.2519626435
403	0.2516563284
404	0.2516164861
405	0.2513788846
406	0.2511080324
407	0.2510483674
408	0.2508310496
409	0.2507297489
410	0.250721163
411	0.2505415193
412	0.2502158591
413	0.2501980856
414	0.2497936387
415	0.249518129
416	0.2493706086
417	0.2493159916
418	0.2492252728
419	0.2488896001
420	0.2488799591
421	0.2488421766
422	0.2488225836
423	0.2487419468
424	0.2486009174
425	0.2484889179
426	0.248389762
427	0.2482059527
428	0.2480943845
429	0.2479182979
430	0.2477905244
431	0.2475040863
432	0.2474474201
433	0.2471807628
434	0.2468980353
435	0.2468767531
436	0.2467990665
437	0.2466664731
438	0.2465836124
439	0.2465683915
440	0.2464954545
441	0.246373806
442	0.2462942346
443	0.246116402
444	0.2459199035
445	0.2458579395
446	0.2458284025
447	0.2457089955
448	0.2456086641
449	0.2455914791
450	0.2453925956
451	0.2453553113
452	0.2453484569
453	0.2451575062
454	0.2450353702
455	0.244849159
456	0.2447250498
457	0.2447087515
458	0.2444358192
459	0.2443967373
460	0.2443634159
461	0.2443406008
462	0.2441279492
463	0.2439615358
464	0.2437283263
465	0.2435680376
466	0.2435607015
467	0.2432365859
468	0.2431744344
469	0.2431677585
470	0.2431436234
471	0.2430514838
472	0.2427770143
473	0.2424753576
474	0.2424678396
475	0.2422713351
476	0.2420606559
477	0.2418285358
478	0.2414811145
479	0.2412174793
480	0.2409693617
481	0.240927845
482	0.2407434434
483	0.240683325
484	0.2405956479
485	0.2404876648
486	0.2404474132
487	0.2402874524
488	0.2401792216
489	0.2400592025
490	0.2398766248
491	0.2397422576
492	0.2396053201
493	0.2394672738
494	0.2392386779
495	0.2390424344
496	0.2387992681
497	0.2387292676
498	0.2386674804
499	0.2385675349
500	0.2382780781
501	0.2380477938
502	0.2379011102
503	0.2377839165
504	0.237624583
505	0.2376181021
506	0.2373991745
507	0.2373895981
508	0.2373166812
509	0.2370983189
510	0.2369914388
511	0.2368104929
512	0.2366515199
513	0.2364716779
514	0.2363218338
515	0.2362945975
516	0.2360545969
517	0.2359091889
518	0.235869884
519	0.2356847445
520	0.2354566103
521	0.2353310996
522	0.2352597139
523	0.2352473967
524	0.2350626415
525	0.2349996808
526	0.2349986532
527	0.2348631842
528	0.2346277689
529	0.2345296339
530	0.2345063848
531	0.2344903506
532	0.2343934691
533	0.2343785432
534	0.2343494686
535	0.2343276049
536	0.2342084377
537	0.2340194126
538	0.2339512973
539	0.2337502987
540	0.2337429726
541	0.2336535181
542	0.2334045171
543	0.2333248204
544	0.2330055703
545	0.232805195
546	0.2327111271
547	0.2325158145
548	0.2322369388
549	0.2321758997
550	0.2319526392
551	0.2317032351
552	0.231462869
553	0.2312927053
554	0.2312516711
555	0.2312110892
556	0.2311388552
557	0.2311219594
558	0.231032228
559	0.2309844546
560	0.2308562549
561	0.2307919415
562	0.2306816767
563	0.2305047371
564	0.2304068293
565	0.2303031739
566	0.2301653686
567	0.2300218075
568	0.2299568599
569	0.2298129015
570	0.229676978
571	0.2295656409
572	0.2294336071
573	0.2292636882
574	0.2291204594
575	0.229014439
576	0.2289971982
577	0.2288592332
578	0.2287415041
579	0.228496227
580	0.2284013422
581	0.2283692714
582	0.2281391112
583	0.2281245306
584	0.2280284409
585	0.2278627874
586	0.2277877717
587	0.2276605728
588	0.2275870839
589	0.2274787034
590	0.2273959048
591	0.227241941
592	0.2269652162
593	0.2268998303
594	0.2267859049
595	0.2266034927
596	0.2265801802
597	0.2263627086
598	0.2261791805
599	0.2261331666
600	0.2259677146
601	0.2258865482
602	0.2258185631
603	0.2256449276
604	0.2255363077
605	0.2253013794
606	0.2251853212
607	0.2250167101
608	0.2250117221
609	0.2249290861
610	0.2249035569
611	0.2246983773
612	0.2246220639
613	0.2245199081
614	0.2243306903
615	0.2242457678
616	0.2241043819
617	0.2238942204
618	0.223679637
619	0.2235794812
620	0.2234021715
621	0.2233707825
622	0.2233404205
623	0.2231639486
624	0.2231021883
625	0.2228854434
626	0.222847296
627	0.2228259501
628	0.22277378
629	0.2226646774
630	0.2224952518
631	0.2224788875
632	0.2223611183
633	0.2222404499
634	0.2220997334
635	0.2219065747
636	0.221830311
637	0.2218009886
638	0.2216951699
639	0.2215392472
640	0.2212653739
641	0.2211602191
642	0.2210580246
643	0.2207907834
644	0.220745247
645	0.2206572878
646	0.220636118
647	0.2204746847
648	0.2204633614
649	0.2203728683
650	0.2202796111
651	0.2202308764
652	0.2200928806
653	0.2198261342
654	0.219759894
655	0.2196912046
656	0.2195776659
657	0.2195085571
658	0.2193948485
659	0.2193902035
660	0.2192760026
661	0.2192020801
662	0.2190537788
663	0.2188164078
664	0.2185914146
665	0.2183954393
666	0.2181607764
667	0.2181219081
668	0.2179293814
669	0.2176477782
670	0.2174537987
671	0.2173576103
672	0.2172995115
673	0.2172618412
674	0.2172072669
675	0.2171749136
676	0.2171087696
677	0.2169077654
678	0.216803596
679	0.2166215898
680	0.2164045623
681	0.2163568226
682	0.2161360198
683	0.2159335608
684	0.2157867246
685	0.2156691947
686	0.2154341184
687	0.2152233101
688	0.215165192
689	0.2150057077
690	0.2149346956
691	0.2147330069
692	0.2146513677
693	0.2145128109
694	0.2144108044
695	0.2143127843
696	0.2141479251
697	0.2139906072
698	0.2139445007
699	0.2137743381
700	0.2136635934
701	0.2135719624
702	0.2134642064
703	0.2133831051
704	0.2131943215
705	0.2131845603
706	0.2131360301
707	0.2130231261
708	0.2130031392
709	0.2127950478
710	0.2125825761
711	0.2125381275
712	0.2124452621
713	0.2123195239
714	0.2123000186
715	0.2122166453
716	0.2121171
717	0.2120475386
718	0.2119385637
719	0.2117900093
720	0.2116048448
721	0.2115157682
722	0.2114192498
723	0.2113868487
724	0.2112872232
725	0.2110952771
726	0.2109145705
727	0.2108852415
728	0.2108549964
729	0.2108461849
730	0.210827172
731	0.2107330387
732	0.2106313117
733	0.2106156932
734	0.2105301479
735	0.2102530285
736	0.2101717567
737	0.2100467839
738	0.2098043674
739	0.2097519035
740	0.2096040481
741	0.2094574476
742	0.2094119667
743	0.2093569474
744	0.2091928264
745	0.2091777838
746	0.2090308654
747	0.2089248818
748	0.20884985
749	0.2087722681
750	0.2087199568
751	0.2084847341
752	0.2084553653
753	0.208332437
754	0.2083262231
755	0.2081707835
756	0.2079684336
757	0.2079289597
758	0.2078937982
759	0.2078470377
760	0.2076315154
761	0.2075693259
762	0.2073473086
763	0.2073011551
764	0.2071731951
765	0.2070426359
766	0.2069332037
767	0.2069280035
768	0.2068945938
769	0.2068612688
770	0.2068040891
771	0.2066373427
772	0.2066242533
773	0.2065366888
774	0.2063824137
775	0.2062047917
776	0.2060685611
777	0.2060316275
778	0.2059540857
779	0.2059140723
780	0.2059055421
781	0.2058588571
782	0.2058412987
783	0.2057561082
784	0.2054728435
785	0.2054630698
786	0.2053829316
787	0.2053423982
788	0.2051726634
789	0.2050327843
790	0.2049910072
791	0.2048647453
792	0.2048298329
793	0.2047417744
794	0.2047263032
795	0.2046805241
796	0.2046121299
797	0.2044414668
798	0.2043078498
799	0.2042485541
800	0.204221613
801	0.2041020565
802	0.2040465085
803	0.2040131715
804	0.2038815587
805	0.203712654
806	0.2035986349
807	0.2035044308
808	0.2034353663
809	0.2033045638
810	0.2031094328
811	0.2029725752
812	0.2027860278
813	0.2027142436
814	0.2026393194
815	0.2024235127
816	0.202296074
817	0.2022937145
818	0.202253457
819	0.2022359629
820	0.202226282
821	0.2021557887
822	0.2020652277
823	0.2020026649
824	0.2016617861
825	0.2015034743
826	0.2014593376
827	0.2013526553
828	0.2010747169
829	0.2009291522
830	0.2008981678
831	0.2008499079
832	0.2008426247
833	0.2005310889
834	0.2002510853
835	0.2002079576
836	0.2000742284
837	0.2000649647
838	0.1999668158
839	0.1995608174
840	0.1993540748
841	0.19921207
842	0.1991017795
843	0.1990353432
844	0.198921342
845	0.1986817874
846	0.1985935475
847	0.1984948132
848	0.1984379381
849	0.1983725548
850	0.1983275166
851	0.1982919044
852	0.1982597042
853	0.1981720097
854	0.1980840229
855	0.1978547532
856	0.197840144
857	0.1977090377
858	0.1976103523
859	0.1974414279
860	0.1973648062
861	0.1973429338
862	0.1972227036
863	0.1972146371
864	0.196940927
865	0.1967190708
866	0.1966233985
867	0.1965901804
868	0.1965445855
869	0.1964833462
870	0.1963933434
871	0.1962522515
872	0.1962473772
873	0.1962242418
874	0.1962203398
875	0.1961611102
876	0.1961032569
877	0.1959864427
878	0.1959423792
879	0.1958428381
880	0.1958106265
881	0.1957090581
882	0.1956733563
883	0.195510013
884	0.1954497554
885	0.1953741672
886	0.1952699199
887	0.1951011353
888	0.1950131535
889	0.1949445714
890	0.1948926752
891	0.1948881997
892	0.1948601803
893	0.1947509625
894	0.1946372895
895	0.1943563482
896	0.1942689344
897	0.1942653065
898	0.1941387236
899	0.1941132936
900	0.1940638047
901	0.1940535009
902	0.1940265823
903	0.1939760224
904	0.1936838419
905	0.1936177696
906	0.1935009257
907	0.1935009228
908	0.193497845
909	0.1933544602
910	0.1932892121
911	0.1931901632
912	0.1931306242
913	0.1931229628
914	0.1930116564
915	0.1928802888
916	0.1927922543
917	0.1926954679
918	0.1926184131
919	0.1925617308
920	0.1923707843
921	0.1922978505
922	0.1922419425
923	0.1922329919
924	0.1922300879
925	0.1920386814
926	0.1918332544
927	0.1916863093
928	0.191647597
929	0.1914620015
930	0.1913899676
931	0.1909000398
932	0.1908183106
933	0.1906403504
934	0.190640313
935	0.1906119752
936	0.1905639911
937	0.1904751202
938	0.1903626898
939	0.1902037042
940	0.1901191418
941	0.1899867398
942	0.1897739223
943	0.1895896284
944	0.1894324233
945	0.1893255098
